Adams,WIC001,,WC
Ashland,WIC003,,N
Barron,WIC005,,N
Bayfield,WIC007,,N
Brown,WIC009,,NE
Buffalo,WIC011,,WC
Burnett,WIC013,,N
Calumet,WIC015,,NE
Chippewa,WIC017,,WC
Clark,WIC019,,WC
Columbia,WIC021,,SC
Crawford,WIC023,,WC
Dane,WIC025,553feb2717795996028b457e,SC
Dodge,WIC027,,SC
Door,WIC029,,NE
Douglas,WIC031,,N
Dunn,WIC033,,WC
EauClaire,WIC035,,WC
Florence,WIC037,,N
FondduLac,WIC039,,NE
Forest,WIC041,,N
Grant,WIC043,,SC
Green,WIC045,,SC
GreenLake,WIC047,,NE
Iowa,WIC049,,SC
Iron,WIC051,,N
Jackson,WIC053,,WC
Jefferson,WIC055,553fec3217795996028b4580,SC
Juneau,WIC057,,WC
Kenosha,WIC059,553fe6fd177959ac0e8b457f,SE
Kewaunee,WIC061,,NE
LaCrosse,WIC063,,WC
Lafayette,WIC065,,SC
Langlade,WIC067,,N
Lincoln,WIC069,,N
Manitowoc,WIC071,,NE
Marathon,WIC073,,WC
Marinette,WIC075,,NE
Marquette,WIC077,,NE
Menominee,WIC078,,NE
Milwaukee,WIC079,553fed2c17795996028b4584,SE
Monroe,WIC081,,WC
Oconto,WIC083,,NE
Oneida,WIC085,,N
Outagamie,WIC087,,NE
Ozaukee,WIC089,553ff12617795996028b4585,SE
Pepin,WIC091,,WC
Pierce,WIC093,,WC
Polk,WIC095,,N
Portage,WIC097,,WC
Price,WIC099,,N
Racine,WIC101,553fea39177959ac0e8b4581,SE
Richland,WIC103,,SC
Rock,WIC105,553ff3bb1779597b408b4569,SC
Rusk,WIC107,,N
Sauk,WIC111,553ff53617795912158b457a,SC
Sawyer,WIC113,,N
Shawano,WIC115,,NE
Sheboygan,WIC117,,SE
St.Croix,WIC109,,WC
Taylor,WIC119,,N
Trempealeau,WIC121,,WC
Vernon,WIC123,,WC
Vilas,WIC125,,N
Walworth,WIC127,553ff6e91779597b408b4572,SE
Washburn,WIC129,,N
Washington,WIC131,553ff97e1779597b408b4574,SE
Waukesha,WIC133,553ffa3f17795912158b4584,SE
Waupaca,WIC135,,NE
Waushara,WIC137,,NE
Winnebago,WIC139,,NE
Wood,WIC141,,WC
